,value,component,exp,Time
22,6.547691100422526e-07,x-moist,stable,2000-01-01 05:00:00
23,1.5097020877874456e-06,x-moist,stable,2000-01-01 05:00:00
24,1.8426560473017162e-06,x-moist,stable,2000-01-01 05:00:00
25,1.2270091929167393e-06,x-moist,stable,2000-01-01 05:00:00
26,8.093345513771055e-07,x-moist,stable,2000-01-01 05:00:00
27,1.0592365242700907e-06,x-moist,stable,2000-01-01 05:00:00
28,1.0869216566788964e-06,x-moist,stable,2000-01-01 05:00:00
29,1.3807015193378902e-06,x-moist,stable,2000-01-01 05:00:00
30,1.610941353646922e-07,x-moist,stable,2000-01-01 05:00:00
31,-2.4244491214631125e-07,x-moist,stable,2000-01-01 05:00:00
32,-6.332464863589848e-07,x-moist,stable,2000-01-01 05:00:00
33,-1.3892442893848056e-06,x-moist,stable,2000-01-01 05:00:00
34,-1.2322503835093812e-06,x-moist,stable,2000-01-01 05:00:00
35,-1.400657993144705e-06,x-moist,stable,2000-01-01 05:00:00
36,-6.649307806583238e-07,x-moist,stable,2000-01-01 05:00:00
37,1.2956519412909984e-07,x-moist,stable,2000-01-01 05:00:00
38,4.5417985461426724e-07,x-moist,stable,2000-01-01 05:00:00
39,6.973975814617006e-07,x-moist,stable,2000-01-01 05:00:00
40,1.5379417845906573e-06,x-moist,stable,2000-01-01 05:00:00
41,1.2341590718278894e-06,x-moist,stable,2000-01-01 05:00:00
42,1.0077470733449445e-06,x-moist,stable,2000-01-01 05:00:00
43,3.8096658272479544e-07,x-moist,stable,2000-01-01 05:00:00
44,-3.710334226525447e-07,x-moist,stable,2000-01-01 05:00:00
45,-4.047793140671274e-07,x-moist,stable,2000-01-01 05:00:00
46,-6.891733619340812e-07,x-moist,stable,2000-01-01 05:00:00
47,-1.1224503850826295e-06,x-moist,stable,2000-01-01 05:00:00
48,-5.850548063790484e-07,x-moist,stable,2000-01-01 05:00:00
0,0.0,y-moist,stable,2000-01-01 05:00:00
1,3.579826712840628e-11,y-moist,stable,2000-01-01 05:00:00
2,1.022074647138993e-10,y-moist,stable,2000-01-01 05:00:00
3,1.2689285733280542e-10,y-moist,stable,2000-01-01 05:00:00
4,1.7109838545970035e-10,y-moist,stable,2000-01-01 05:00:00
5,-1.482761025073387e-09,y-moist,stable,2000-01-01 05:00:00
6,-3.909352841446889e-09,y-moist,stable,2000-01-01 05:00:00
7,-4.505462669612825e-09,y-moist,stable,2000-01-01 05:00:00
8,9.932390909739297e-09,y-moist,stable,2000-01-01 05:00:00
9,4.959643007396153e-08,y-moist,stable,2000-01-01 05:00:00
10,1.348791123234605e-08,y-moist,stable,2000-01-01 05:00:00
11,-1.858574165680693e-07,y-moist,stable,2000-01-01 05:00:00
12,-1.6113338574541558e-07,y-moist,stable,2000-01-01 05:00:00
13,-5.762748500615089e-08,y-moist,stable,2000-01-01 05:00:00
14,1.162063298920657e-07,y-moist,stable,2000-01-01 05:00:00
15,8.546066254666584e-08,y-moist,stable,2000-01-01 05:00:00
16,-4.154318489213438e-08,y-moist,stable,2000-01-01 05:00:00
17,7.85766047783909e-08,y-moist,stable,2000-01-01 05:00:00
18,-5.6644772428171564e-08,y-moist,stable,2000-01-01 05:00:00
19,-4.8993236134720064e-08,y-moist,stable,2000-01-01 05:00:00
20,-1.0136665906657072e-07,y-moist,stable,2000-01-01 05:00:00
21,-7.729499174047305e-08,y-moist,stable,2000-01-01 05:00:00
22,5.378073097972447e-08,y-moist,stable,2000-01-01 05:00:00
23,2.3067876497862017e-07,y-moist,stable,2000-01-01 05:00:00
24,3.080926092025038e-07,y-moist,stable,2000-01-01 05:00:00
25,3.0823744623376115e-07,y-moist,stable,2000-01-01 05:00:00
26,5.8998590901637726e-08,y-moist,stable,2000-01-01 05:00:00
27,-5.37064686056965e-08,y-moist,stable,2000-01-01 05:00:00
28,-7.374880794941419e-08,y-moist,stable,2000-01-01 05:00:00
29,-1.7827769260847504e-09,y-moist,stable,2000-01-01 05:00:00
30,6.196769675170799e-08,y-moist,stable,2000-01-01 05:00:00
31,-1.5137644027163333e-07,y-moist,stable,2000-01-01 05:00:00
32,-1.9353130653598782e-07,y-moist,stable,2000-01-01 05:00:00
33,-1.213775959740815e-07,y-moist,stable,2000-01-01 05:00:00
34,-2.91537798347008e-08,y-moist,stable,2000-01-01 05:00:00
35,5.712142225888783e-08,y-moist,stable,2000-01-01 05:00:00
36,1.6773564937011542e-07,y-moist,stable,2000-01-01 05:00:00
37,1.4213952681529918e-07,y-moist,stable,2000-01-01 05:00:00
38,2.948098085653328e-07,y-moist,stable,2000-01-01 05:00:00
39,1.5885767368217785e-07,y-moist,stable,2000-01-01 05:00:00
40,1.1539022182205372e-07,y-moist,stable,2000-01-01 05:00:00
41,-8.438213683348295e-08,y-moist,stable,2000-01-01 05:00:00
42,-1.8255842348935403e-07,y-moist,stable,2000-01-01 05:00:00
43,6.186601453350704e-09,y-moist,stable,2000-01-01 05:00:00
44,1.3578474522546458e-07,y-moist,stable,2000-01-01 05:00:00
45,1.786304260065208e-08,y-moist,stable,2000-01-01 05:00:00
46,2.083463925828255e-07,y-moist,stable,2000-01-01 05:00:00
47,2.5363857503180043e-07,y-moist,stable,2000-01-01 05:00:00
48,1.935831761556983e-07,y-moist,stable,2000-01-01 05:00:00
0,8.17667474805177e-07,z-moist,stable,2000-01-01 05:00:00
1,5.983803907550778e-07,z-moist,stable,2000-01-01 05:00:00
2,5.5883436381251e-07,z-moist,stable,2000-01-01 05:00:00
3,7.50697055784396e-07,z-moist,stable,2000-01-01 05:00:00
4,1.0885888433579025e-06,z-moist,stable,2000-01-01 05:00:00
5,1.2030539138219025e-06,z-moist,stable,2000-01-01 05:00:00
6,1.3088129602278335e-06,z-moist,stable,2000-01-01 05:00:00
7,1.3024799667204483e-06,z-moist,stable,2000-01-01 05:00:00
8,1.0242838931234578e-06,z-moist,stable,2000-01-01 05:00:00
9,1.535969020067891e-06,z-moist,stable,2000-01-01 05:00:00
10,5.74385424592544e-07,z-moist,stable,2000-01-01 05:00:00
11,-3.95916425917722e-07,z-moist,stable,2000-01-01 05:00:00
12,-1.800416370476537e-07,z-moist,stable,2000-01-01 05:00:00
13,8.50200252253798e-08,z-moist,stable,2000-01-01 05:00:00
14,5.585930599017611e-07,z-moist,stable,2000-01-01 05:00:00
15,8.21354303839086e-07,z-moist,stable,2000-01-01 05:00:00
16,9.57258287345684e-07,z-moist,stable,2000-01-01 05:00:00
17,4.829799821246651e-07,z-moist,stable,2000-01-01 05:00:00
18,7.429905825212031e-07,z-moist,stable,2000-01-01 05:00:00
19,1.1288099686461913e-06,z-moist,stable,2000-01-01 05:00:00
20,1.7341046558716629e-06,z-moist,stable,2000-01-01 05:00:00
21,1.4985360417373573e-06,z-moist,stable,2000-01-01 05:00:00
22,1.808290982831128e-06,z-moist,stable,2000-01-01 05:00:00
23,2.286085988618905e-06,z-moist,stable,2000-01-01 05:00:00
24,2.7475147684918176e-06,z-moist,stable,2000-01-01 05:00:00
25,2.2805136734549003e-06,z-moist,stable,2000-01-01 05:00:00
26,2.0759361442414266e-06,z-moist,stable,2000-01-01 05:00:00
27,1.924798847470857e-06,z-moist,stable,2000-01-01 05:00:00
28,8.843643178196648e-07,z-moist,stable,2000-01-01 05:00:00
29,5.255816533831479e-07,z-moist,stable,2000-01-01 05:00:00
30,8.31580505694581e-07,z-moist,stable,2000-01-01 05:00:00
31,7.9022948865932e-07,z-moist,stable,2000-01-01 05:00:00
32,1.8122942331305976e-07,z-moist,stable,2000-01-01 05:00:00
33,-7.161496669832098e-08,z-moist,stable,2000-01-01 05:00:00
34,1.2060207361944868e-07,z-moist,stable,2000-01-01 05:00:00
35,4.919168106103434e-08,z-moist,stable,2000-01-01 05:00:00
36,-1.7112954681786367e-07,z-moist,stable,2000-01-01 05:00:00
37,-4.619043143584004e-07,z-moist,stable,2000-01-01 05:00:00
38,-7.535302952592131e-07,z-moist,stable,2000-01-01 05:00:00
39,-1.0237663607054118e-06,z-moist,stable,2000-01-01 05:00:00
40,-7.083937172082407e-07,z-moist,stable,2000-01-01 05:00:00
41,-3.6427879387725005e-07,z-moist,stable,2000-01-01 05:00:00
42,-8.170357374828073e-07,z-moist,stable,2000-01-01 05:00:00
43,-1.3531982910501052e-06,z-moist,stable,2000-01-01 05:00:00
44,-1.7361995422198803e-06,z-moist,stable,2000-01-01 05:00:00
45,-2.5011557802746568e-06,z-moist,stable,2000-01-01 05:00:00
46,-2.3817499109272715e-06,z-moist,stable,2000-01-01 05:00:00
47,-2.138659688113611e-06,z-moist,stable,2000-01-01 05:00:00
48,-1.6990013102281698e-06,z-moist,stable,2000-01-01 05:00:00
0,0.0,x-moist,neutstab,2000-01-01 05:00:00
1,-9.641910533875198e-12,x-moist,neutstab,2000-01-01 05:00:00
2,1.1158404061850646e-10,x-moist,neutstab,2000-01-01 05:00:00
3,-8.043393728840442e-10,x-moist,neutstab,2000-01-01 05:00:00
4,5.22470022801258e-09,x-moist,neutstab,2000-01-01 05:00:00
5,3.4601697507241624e-08,x-moist,neutstab,2000-01-01 05:00:00
6,7.628617026966822e-08,x-moist,neutstab,2000-01-01 05:00:00
7,9.098764408577154e-09,x-moist,neutstab,2000-01-01 05:00:00
8,1.288116209252621e-06,x-moist,neutstab,2000-01-01 05:00:00
9,-2.4152321032033797e-08,x-moist,neutstab,2000-01-01 05:00:00
10,-3.2373307590205513e-07,x-moist,neutstab,2000-01-01 05:00:00
11,-2.2223750306693546e-07,x-moist,neutstab,2000-01-01 05:00:00
12,1.132927195612865e-06,x-moist,neutstab,2000-01-01 05:00:00
13,5.263567715019235e-08,x-moist,neutstab,2000-01-01 05:00:00
14,1.2812604381906567e-06,x-moist,neutstab,2000-01-01 05:00:00
15,-2.4843828327902884e-07,x-moist,neutstab,2000-01-01 05:00:00
16,-9.951900210580789e-07,x-moist,neutstab,2000-01-01 05:00:00
17,-9.942069709723e-07,x-moist,neutstab,2000-01-01 05:00:00
18,-1.6850979136506794e-06,x-moist,neutstab,2000-01-01 05:00:00
19,7.3943169809354e-07,x-moist,neutstab,2000-01-01 05:00:00
20,1.1957167771470267e-06,x-moist,neutstab,2000-01-01 05:00:00
21,1.3668418432644103e-06,x-moist,neutstab,2000-01-01 05:00:00
22,1.2513411320469459e-06,x-moist,neutstab,2000-01-01 05:00:00
23,4.242592410719226e-07,x-moist,neutstab,2000-01-01 05:00:00
